,Kas_Pscu1_2KB1,Ctho11_1KB1,Ctho11_1KB5,TrduC2,Lida11_2,Lida11_1,TrduC3,Kal_Sidi5_1KB2,Kal_Lola2_1KB1,Kal_Lola2_1KB2,Kal_Lola2_1KB3,Kal_Lola2_1KB4,Asbu11_1,SibaC2,SibaC3,T08_Mbi_Lola1_gill2,Kal_Sidi1_4KB2,Mbi_Peep1_2KB3,PetrC4_ASmit1Schisto3_ASmit1,Mbi_Peep1_2KB5,Kal_LobLab4_uitw2,Kal_LobLab4_uitw3,Kal_LobLab4_uitw1,Kal_LobLab4_uitw6,Kal_LobLab4_uitw7,Kal_LobLab4_uitw4,Kal_LobLab4_uitw5,Kal_LobLab3_uitw4,Kal_LobLab3_uitw1,LidaC2,Kal_LobLab3_uitw3,Kal_LobLab3_uitw2,Mbi_Peep8,Sema13,Cro_Trmo1_3KB1,PepoC3,SiplC3,SiplC2,Sidi5_1KBL1,T08_Kal_Sidi1_gillFTA6,SiplC4,T08_Mto_Lola1_gillFTA2,T08_Mto_Lola1_gillFTA1,Sidi5_3KBL3,PefsC3,Ctho11_2KB16,PefsC1,Ctho11_2KB18,TrbrB14,Kal_LobLab5_uitw7,Cro_Trmo3_gill1,Kal_LobLab5_uitw5,Cro_Pefam4_1KB1,Kal_LobLab5_uitw2,Kal_LobLab5_uitw1,SimaC14,Cro_Pefam4_3KB1,Kal_LobLab5_uitw8,Ctho7_1KB3,Ctho7_1KB5,PetrC1,PetrC2,PetrC3,Trbr14,Kal_LobLab5_1KB5,Kal_LobLab5_1KB4,Kal_LobLab5_1KB1,Kal_LobLab5_1KB3,Kal_LobLab5_1KB2,Ctho10_1KB3,PepoC1,Sema12,Cro_Peep1_1KB5,PepoC2,Cro_Peep1_1KB3,PepoC4,Cro_Peep1_1KB1,PefsC2,Mbi_Sidi2_gill1,T08_Kal_Pscu4_gillFTA4,Mbi_Sidi2_gill4,KalNefa1_1KB6,PscuC1,PscuC2,PscuC3,PscuC4,PscuC5,PscuC6,Mbi_Peep2_1KB1,T08_Mbi_Ctho1_1KB1,Kal_Lola2_1KB5,T08_Kal_Pscu1_gillFTA2,T08_Kal_Pscu1_gillFTA3,Mbi_Pepo9apr_gill1,Sema3,SibaC1,SiMaC5,SiMaC4,SiMaC7,SiMaC6,SiMaC1,SiMaC3,Kal_Sidi1z_pot1,T08_Kal_Ctho1_gill1,Ctho9_2KB4,SiMaC9,SiMaC8,Mbi_Lola1_gill1,Kal_LobLab5_uitw6,Kal_LobLab4_3KB1,SimaC13,GnPfC2,Kal_LobLab5_uitw4,TrbrB6,Mus_Pefam2_2KB1,PemaC4,PemaC5,PemaC6,PefmC1,Kal_Sidi1_FTA7,PemaC2,PemaC3,Mus_Pefam1_1KBL1,Kal_Siba1_gill3,Sidi5_2KBL9,Sidi5_2KBL8,Sidi5_2KBL5,Sidi5_2KBL1,T08_Kal_Gnpf1_gill1,Sidi5_2KBL3,TrAnC1,SiMaC10,SiMaC12,PemaC1,Sidi5_3KBL2,Cro_Trmo1_2KB1,Kal_LobLab4_1KB2,Won_Siba1_1KB1,Cro_Pefm2_1KB3,Cro_Pefm2_1KB1,Kal_Sidi4_3KB1,GnaPfe3_2KB1,TrbrB2,TrbrB3,Kal_Lida4_gill1,TrbrB1,Ctho5_1KB2,TrbrB7,Sidi5_4KBL1,TrbrB5,Ctho4_1KB1,T08_Mto_Ctho1_1KB4,zambezensis,Cro_Trmo1_4KB4,LidaC1,TrduC2_ASmit12,T08_Kal_Lola1_gill1,T08_Mbi_Ctho1_2KB1,T08_Mto_Ctho1_1KB1,T08_Mto_Ctho1_1KB2,Sidi8_1KB3,SiMaC2,Kal_Gnpf2_gill3,Inlo2,Inlo1,TrbrB11,Mus_Lola2_gill2,Mus_Lola2_gill1,Sidi5_4KB2,LoLaC4,LoLaC1,LoLaC3,LoLaC2,Kal_LobLab3_1KB3,Kal_LobLab3_1KB2,Kal_LobLab3_1KB1,TrduC4,Kal_LobLab3_1KB4,Peor3,Peor2,Peor1,Peor6,Peor5,Peor4,TranC4,TranC5,TrbrB12,TrbrB13,Kal_Pscu1_FTA1,TranC2,TranC3
Lobochilotes_labiatus,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tropheus_annectens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
Petrochromis_polyodon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tropheus_brichardi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Petrochromis_famula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simochromis_marginatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neolamprologus_fasciatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astatotilapia_burtoni,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limnotilapia_dardennii,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrochromis_fasciolatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ctenochromis_horei,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
