,Agrimonia_eupatoria,Leontodon_autumnalis,Lotus_corniculatus,Medicago_lupulina,Rubus_fruticosus,Hypochaeris_radicata,Centaurea_nigra,Euphrasia_officinalis,Linum_catharticum,Convulvulus_arvensis,Knautia_arvensis,Aethusa_cynapium,Eupatorium_cannabinum,Plantago_major,Leontodon_saxatilis,Lathyrus_pratensis,Clematis_vitalba,Senecio_jacobaea,Trifolium_pratense,Chamerion_angustifolium,Leontodon_hispidus,Crepis_capillaris,Torilis_japonica,Angelica_sylvertris,Daucus_carota
Symphyta_sp._1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,8,1,53
Unidentified_sp._1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Solitary_bees.,0,7,0,1,0,3,3,0,1,2,0,0,0,0,0,0,0,2,1,4,58,4,0,0,6
Polyommatus_icarus,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Pyonia_tithonus,0,0,0,0,0,0,2,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Pieris_brassicae,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Incurvariidae_sp._1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
Maniola_jurtina,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Thymelicus_sylvestris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Aglais_urticae,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0
