,guest_0,guest_1,guest_2,guest_3,guest_4,guest_5,guest_6,guest_7,guest_8,guest_9,guest_10,guest_11,guest_12,guest_13,guest_14,guest_15,guest_16,guest_17
host_41,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
host_42,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
host_43,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
host_44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
host_45,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
host_46,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1
host_47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
host_48,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1
host_49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
host_50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
host_51,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0
host_52,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
host_53,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
host_54,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1
host_55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
host_56,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
host_57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
host_58,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
host_59,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
host_60,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
host_61,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
host_62,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
host_63,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
host_64,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
host_65,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
host_66,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0
host_67,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
host_68,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
host_69,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
host_70,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
host_71,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0
host_72,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
host_73,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1
host_74,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0
host_75,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
host_76,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
host_77,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
host_78,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
host_79,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
host_80,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
host_81,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
host_82,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
host_83,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
host_84,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
host_85,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
host_86,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
host_87,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
host_88,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
host_89,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
host_90,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0
host_91,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
host_92,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
host_93,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
host_94,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
host_95,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
host_96,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1
host_97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
host_98,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
host_99,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
host_100,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
host_101,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
host_102,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
host_103,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
host_104,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
host_105,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
host_106,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
host_107,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
host_108,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
host_109,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
host_110,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
host_111,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
host_112,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
host_113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
host_114,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
host_115,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0
host_116,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
host_117,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
host_118,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
host_119,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
host_120,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
host_121,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
host_122,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
host_123,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
host_124,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
host_125,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0
host_126,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
host_127,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
host_128,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
host_129,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
host_130,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
host_131,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1
host_132,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
host_133,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
host_134,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
host_135,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
host_136,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
host_137,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
host_138,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0
host_139,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
host_140,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
host_141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
host_142,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
host_143,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
host_144,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
host_145,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0
host_146,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
host_147,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0
host_148,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0
host_149,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
